index original,text H-ID,witness H-ID,document H-ID,ToCheck,Shelfmark,TRI,textAuthor-freetext,workTitle-freetext,textTitle-freetext,Form,siglum,witness_label,status,Settlement,repository,collection,idno,volume,range_pages,range_views,Digitisation,note,Scripta,Scripta_freetext,Scripta_source,Century,Date,date-freetext,Date-source,jonas_id,arlima_id,Remarques,arlima_ident,arlima_page,arlima_subentry,arlima_ms_reference
20,764,,45711,FALSE,"Paris, Bibliothèque nationale de France, français 1448",Aimeri de Narbonne,,Aimeri de Narbonne,,verse,D,D,,Paris,Bibliothèque nationale de France,français,1448,,41r,46,https://gallica.bnf.fr/ark:/12148/btv1b9058891r,,,Lorraine Sud,Allen,,1241-1260,Milieu du XIIIe siècle,Allen,http://jonas.irht.cnrs.fr/manuscrit/45611,https://arlima.net/no/2438,,,,677,Aimeri de Narbonne
21,623,,45775,FALSE,"Paris, Bibliothèque nationale de France, français 25516",Aiol,,,Aiol,verse,,,,Paris,Bibliothèque nationale de France,français,25516,,96ra-173ra,197-351,https://gallica.bnf.fr/ark:/12148/btv1b84516032,,,,,,1251-1300,Seconde moitié du XIIIe siècle,Allen,http://jonas.irht.cnrs.fr/manuscrit/45941,https://arlima.net/no/2953,,,,679,Aiol
22,715,,45333,FALSE,"Nantes, Bibliothèque municipale, 641-644",Aiquin,,,Aiquin,verse,,,,Nantes,Bibliothèque municipale,,641-644,,,,NON NUMÉRISÉ,Copie exec. par Bizeul,,,,,1801-1900,XIXe siècle,Allen,"http://jonas.irht.cnrs.fr/manuscrit/78330, http://jonas.irht.cnrs.fr/manuscrit/78333, http://jonas.irht.cnrs.fr/manuscrit/78332",,,,,680,Aiquin
23,715,,45694,FALSE,"Paris, Bibliothèque nationale de France, Arsenal 3846",Aiquin,,,Aiquin,verse,,,,Paris,Bibliothèque nationale de France,Arsenal,3846,,??,,NON NUMÉRISÉ,Copie du XVIIe du ms. fr. 2233.,,,,,1701-1800,XVIIIe siècle,Allen,http://jonas.irht.cnrs.fr/manuscrit/78334,https://arlima.net/no/9130,,,,680,Aiquin
24,715,,45917,FALSE,"Paris, Bibliothèque nationale de France, français 2233",Aiquin,,,Aiquin,verse,,,fragment,Paris,Bibliothèque nationale de France,français,2233,,1r-57v,3-61,https://gallica.bnf.fr/ark:/12148/btv1b9058992h,,,,,,1401-1500,XVe siècle,Allen,http://jonas.irht.cnrs.fr/manuscrit/75493,https://arlima.net/no/2881,,,,680,Aiquin
25,715,,45374,FALSE,"Paris, Bibliothèque Sainte-Geneviève, L. F. 29 (anc. 1194)",Aiquin,,,"Le recit de la Conqueste du pais de Bretaigne armorique, que faist le preux Charlemaigne contre un payen, nommé Acquin",verse,,,,Paris,Bibliothèque Sainte-Geneviève,,LF 29 (anc. 1194),2029,??,,NON NUMÉRISÉ,Copie du XVIIe du ms. fr. 2233.,,,,,1501-1600,XVIe siècle,Arlima,http://jonas.irht.cnrs.fr/manuscrit/78335,https://arlima.net/no/9132,,,,680,Aiquin
1617,48506,,46145,FALSE,"Arras, Archives départementales du Pas-de-Calais, J(01) 0901",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,,,fragment,Arras,Archives départementales du Pas-de-Calais,,J(01) 0901,,?,,NON NUMÉRISÉ,,,,,,1301-1400,XIVe siècle,"Roger Berger, Deux fragments inédits du Roman d'Alexandre, Bien dire et bien aprandre, 6, 1988 : p. 17-24",http://jonas.irht.cnrs.fr/manuscrit/79466,,,,,120,Alexandre de Paris
1619,48506,,,FALSE,"Bruxelles, Bibliothèque royale, II 00139 fragment 4",Alexandre,Alexandre de Paris,,roman d'Alexandre,,,,fragment,Bruxelles,Bibliothèque royale,,II 00139 fragment 4,,,,,,,,,,1201-1300,13e s.,Arlima,https://jonas.irht.cnrs.fr/manuscrit/75429,https://www.arlima.net/mss/belgique/bruxelles/kbr/II_139_4.html,,,,,
1620,48506,,45513,FALSE,"Bruxelles, Bibliothèque royale, IV 00621 (7)",Alexandre,Alexandre de Paris,,roman d'Alexandre,,,,fragment,Bruxelles,Bibliothèque royale,,IV 00621 (7),,,,,,,,,,1281-1300,fin du 13e s.,Jonas,https://jonas.irht.cnrs.fr/manuscrit/82696,,,,,,
1621,48506,,46069,FALSE,"Città del Vaticano, BAV, Reginensi latini 1364",Alexandre,Alexandre de Paris,,roman d'Alexandre,vers,,,,Città del Vaticano,Biblioteca Apostolica Vaticana,Reginensi latini,1364,,,,https://digi.vatlib.it/iiif/MSS_Reg.lat.1364/manifest.json,,,,,,1241-1260,milieu du 13e s.,Jonas,https://jonas.irht.cnrs.fr/manuscrit/75523,,,,,,
1623,48506,,45543,FALSE,"Lugo, Biblioteca publica municipal, cartella I XII C6",Alexandre,Alexandre de Paris,,roman d'Alexandre,,,,fragment,Lugo,Biblioteca publica municipal,,cartella I XII C6,,,,,,,,,,,,,https://jonas.irht.cnrs.fr/manuscrit/78286,,,,,336,Roman d'Alexandre en prose
1624,48506,,45338,FALSE,"Oxford, Bodleian Library, Bodley 264 (Madan 2464)",Alexandre,Alexandre de Paris,,roman d'Alexandre,,,,,Oxford,Bodleian Library,Bodley,264 (Madan 2464),,,,https://portail.biblissima.fr/iiif/collection/ark:/43093/mdata4699235d4477faea1225bff7ebd64ab24dd02308,,,,,,1338,"""Des pièces copiées en 1338, d'autres en 1400-1410. enluminé entre 1338 et 1344"" ",Jonas,https://jonas.irht.cnrs.fr/manuscrit/39999,,Other Alexander texts to be added,,,,
1625,48506,,45320,FALSE,"Paris, Archives nationales, AB/XIX/1739, Dossier Seine inférieure, nn. 58-59",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,,,fragment,Paris,Archives nationales,,"AB/XIX/1739, Dossier Seine inférieure, nn. 58-59",,??,,NON NUMERISE,"branche III, vv. 5532-5696 et 6704-6874",,,,,1281-1300,Fin du XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/82675,,,,,120,Alexandre de Paris
1626,48506,,45753,FALSE,"Paris, Bibliothèque nationale de France, français 12565",Alexandre,Alexandre de Paris,,roman d'Alexandre,,,,,Paris,Bibliothèque nationale de France,français,12565,,???,,NON NUMÉRISÉ,,,Normandie /Paris?,Jonas,,1361-1400,après 1360(Bellon-Méguelle); fin XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74804,,Localisation par l'iconographie,,,120,Alexandre de Paris
1627,48506,,45855,FALSE,"Paris, Bibliothèque nationale de France, français 12567",Alexandre,Alexandre de Paris,,roman d'Alexandre,,,,,Paris,Bibliothèque nationale de France,français,12567,,???,,https://gallica.bnf.fr/ark:/12148/btv1b9009541r,,,,,,1301-1320,début du XIVe s. (Tesnière 2011),Jonas,http://jonas.irht.cnrs.fr/manuscrit/75499,https://arlima.net/no/4615,,,,120,Alexandre de Paris
1628,48506,,45854,FALSE,"Paris, Bibliothèque nationale de France, français 1375",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,O,O,,Paris,Bibliothèque nationale de France,français,1375,,???,,https://gallica.bnf.fr/ark:/12148/btv1b90096717,,,,,,1401-1500,XVe siècle,Arlima,: http://jonas.irht.cnrs.fr/manuscrit/75477,https://arlima.net/no/2843,,,,120,Alexandre de Paris
1629,48506,,46021,FALSE,"Paris, Bibliothèque nationale de France, français 15094",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,D,D,,Paris,Bibliothèque nationale de France,français,150094,,1r-299v,7-604,https://gallica.bnf.fr/ark:/12148/btv1b52507115s,,,,,,1246-1255,vers 1250,Jonas,http://jonas.irht.cnrs.fr/manuscrit/75501,https://arlima.net/no/5084,,,,120,Alexandre de Paris
1630,48506,,45973,FALSE,"Paris, Bibliothèque nationale de France, français 15095",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,C,C,,Paris,Bibliothèque nationale de France,français,150095,,1r-??,9-??,https://gallica.bnf.fr/ark:/12148/btv1b10723855k,,,,,,1246-1255,vers 1250,Jonas,http://jonas.irht.cnrs.fr/manuscrit/75502,https://arlima.net/no/5082,,,,120,Alexandre de Paris
1631,48506,,45948,FALSE,"Paris, Bibliothèque nationale de France, français 1590",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,S,S,mutilated,Paris,Bibliothèque nationale de France,français,1590,,1r-55va,7-116,https://gallica.bnf.fr/ark:/12148/btv1b52503875j,incomplet du début,,,,,1301-1350,Première moitié du XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74805,https://arlima.net/no/2854,,,,120,Alexandre de Paris
1632,48506,,46025,FALSE,"Paris, Bibliothèque nationale de France, français 1635",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,T,T,,Paris,Bibliothèque nationale de France,français,1635,,85r-181v,175-368,https://gallica.bnf.fr/ark:/12148/btv1b105253083,,,,,,1201-1300,XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45638,https://arlima.net/no/2342,,,,120,Alexandre de Paris
1633,48506,,45951,FALSE,"Paris, Bibliothèque nationale de France, français 24365",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,M,M,,Paris,Bibliothèque nationale de France,français,24365,,1r-21rb,Jul-27,https://gallica.bnf.fr/ark:/12148/btv1b90640110,,,,,,1301-1350,Première moitié XIVe siècle,Arlima,http://jonas.irht.cnrs.fr/manuscrit/75510,https://arlima.net/no/2480,Localisation d'après bibliographie,,,120,Alexandre de Paris
1634,48506,,45772,FALSE,"Paris, Bibliothèque nationale de France, français 24366",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,,,,Paris,Bibliothèque nationale de France,français,24366,,1-40b,4 à 24,https://gallica.bnf.fr/ark:/12148/btv1b90637521,,,,,,1201-1300,XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45908,https://arlima.net/no/2343,,,,120,Alexandre de Paris
1635,48506,,45940,FALSE,"Paris, Bibliothèque nationale de France, français 25517",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,G,G,,Paris,Bibliothèque nationale de France,français,25517,,1r-53v,2 à 55,https://gallica.bnf.fr/ark:/12148/btv1b90636800,première branche du roman,,,,,1276-1300,Dernier quart XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/75513,https://arlima.net/no/4747,,,,120,Alexandre de Paris
1636,48506,,45930,FALSE,"Paris, Bibliothèque nationale de France, français 368",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,R,R,mutilated,Paris,Bibliothèque nationale de France,français,368,,41r-88v,46-98,https://gallica.bnf.fr/ark:/12148/btv1b90600192,incomplet de la fin,,,,,1301-1313,"Première moitié du XIVe siècle, avant 1313",Arlima/Jonas,http://jonas.irht.cnrs.fr/manuscrit/45523,https://arlima.net/no/633,,,,120,Alexandre de Paris
1637,48506,,45930,FALSE,"Paris, Bibliothèque nationale de France, français 368",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,R,R,mutilated,Paris,Bibliothèque nationale de France,français,368,,41r-88v,46-98,https://gallica.bnf.fr/ark:/12148/btv1b90600192,incomplet de la fin,,,,,1301-1313,"Première moitié du XIVe siècle, avant 1313",Arlima/Jonas,http://jonas.irht.cnrs.fr/manuscrit/45523,https://arlima.net/no/633,,,,120,Alexandre de Paris
1638,48506,,45930,FALSE,"Paris, Bibliothèque nationale de France, français 368",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,R,R,mutilated,Paris,Bibliothèque nationale de France,français,368,,41r-88v,46-98,https://gallica.bnf.fr/ark:/12148/btv1b90600192,incomplet de la fin,,,,,1301-1313,"Première moitié du XIVe siècle, avant 1313",Arlima/Jonas,http://jonas.irht.cnrs.fr/manuscrit/45523,https://arlima.net/no/633,,,,120,Alexandre de Paris
1639,48506,,45925,FALSE,"Paris, Bibliothèque nationale de France, français 375",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,A,A,,Paris,Bibliothèque nationale de France,français,375,,164 r- 216,339-444,https://gallica.bnf.fr/ark:/12148/btv1b10510319x,,,région d’Arras,Jonas,,1288,"Achevé le 2 février 1288, mais Jonas dit 1289-1317",,http://jonas.irht.cnrs.fr/manuscrit/45527,https://arlima.net/no/527,,,,120,Alexandre de Paris
1640,48506,,46041,FALSE,"Paris, Bibliothèque nationale de France, français 786",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,H,H,,Paris,Bibliothèque nationale de France,français,786,,4ra,13,https://gallica.bnf.fr/ark:/12148/btv1b52517821c,,,Picardie,,,1268,1268,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45553,https://arlima.net/no/3919,,,,120,Alexandre de Paris
1641,48506,,45740,FALSE,"Paris, Bibliothèque nationale de France, français 787",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,,,,Paris,Bibliothèque nationale de France,français,787,,1r-79rb,6 à 82,https://gallica.bnf.fr/ark:/12148/btv1b9065198k,feuillet manque au début et à la fin,,,,,1281-1300,fin XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/75469,https://arlima.net/no/3918,,,,120,Alexandre de Pairs
1642,48506,,45745,FALSE,"Paris, Bibliothèque nationale de France, français 789",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,L,L,,Paris,Bibliothèque nationale de France,français,789,,1ra-75vb,5 à 11,https://gallica.bnf.fr/ark:/12148/btv1b9007155s,,,,,,1280,1280,Jonas,http://jonas.irht.cnrs.fr/manuscrit/75470,https://arlima.net/no/3916,,,,120,Alexandre de Paris
1643,48506,,45790,FALSE,"Paris, Bibliothèque nationale de France, français 790",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,Q,Q,mutilated,Paris,Bibliothèque nationale de France,français,790,,f1,3 à 5,https://gallica.bnf.fr/ark:/12148/btv1b90096502,incomplet de la fin,,,,,1301-1360,Milieu XIVe siècle (Arlima) ou 1ère moitié du 14e s. (Jonas),Arlima,http://jonas.irht.cnrs.fr/manuscrit/75471,https://arlima.net/no/2824,,,,120,Alexandre de Paris
1644,48506,,45741,FALSE,"Paris, Bibliothèque nationale de France, français 791",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,N,N,,Paris,Bibliothèque nationale de France,français,791,,f1,6 à 9,https://gallica.bnf.fr/ark:/12148/btv1b90582018,,,,,,1381-1400,Fin XIVe siècle,Arlima,http://jonas.irht.cnrs.fr/manuscrit/75472,https://arlima.net/no/2635,,,,120,Alexandre de Paris
1645,48506,,45971,FALSE,"Paris, Bibliothèque nationale de France, français 792",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,,,,Paris,Bibliothèque nationale de France,français,792,,51ra-139rb,53-141,https://gallica.bnf.fr/ark:/12148/btv1b9059173q,,,,,,1276-1300,Dernier quart XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45554,https://arlima.net/no/2265,,,,120,Alexandre de Paris
1646,48506,,46129,FALSE,"Parma, Biblioteca Palatina, palat. 1206",Alexandre,Alexandre de Paris,,roman d'Alexandre,,,,,Parma,Biblioteca Palatina,palat.,1206,,,,,,,,,,1301-1400,14e s. (Busby),Jonas,https://jonas.irht.cnrs.fr/manuscrit/75521,,,,,,
1647,48506,,45415,FALSE,"Porrentruy, Archives de l'ancien Evêché de Bâle, 93 J,I",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,,,fragment,Porrentruy,Archives de l'ancien Evêché de Bâle,,"93 J,I",,,,NON NUMÉRISÉ,"1 feuillet, vers 3052-3207 de la branche III",,,,,1201-1300,XIIIe siècle,Arlima,http://jonas.irht.cnrs.fr/manuscrit/80087,https://arlima.net/no/2344,,,,120,Alexandre de Paris
1648,48506,,,FALSE,"Princeton, University Library, P54",Alexandre,Alexandre de Paris,,roman d'Alexandre,,,,fragment,Princeton,University Library,,P54,,,,,,,,,,1301-1400,14e s.,Jonas,http://jonas.irht.cnrs.fr/manuscrit/80754,,,,,,
1649,48506,,,FALSE,"Saint-lo, Archives départementales de la Manche, sans cote",Alexandre,Alexandre de Paris,,roman d'Alexandre,verse,,,,Saint-lo,Archives départementales de la Manche,,sans cote,,,,NON NUMÉRISÉ,,,,,,,,,: http://jonas.irht.cnrs.fr/manuscrit/78287,,,,,120,Alexandre de Paris
1650,48506,,45386,FALSE,"Treviso, Archivio capitolare, Scatola 20, fol. 34v",Alexandre,Alexandre de Paris,,roman d'Alexandre,,,,,Treviso,Archivio Capitolare,,"Scatola 20, fol. 34v",,,,,,,,,,,,,,,,,,,
1611,,,45930,FALSE,"Paris, Bibliothèque nationale de France, français 368",Alexandre,Pierre de Saint-Cloud,roman d'Alexandre,La signification de la mort Alexandre,verse,,,mutilated,Paris,Bibliothèque nationale de France,français,368,,119r-120v,129-131,https://gallica.bnf.fr/ark:/12148/btv1b90600192,incomplet de la fin,,,,,1301-1313,"Première moitié du XIVe siècle, avant 1313",Arlima/Jonas,http://jonas.irht.cnrs.fr/manuscrit/45523,https://arlima.net/no/633,,,,5033,Pierre de Saint-Cloud
1612,,,45930,FALSE,"Paris, Bibliothèque nationale de France, français 368",Alexandre,Pierre de Saint-Cloud,roman d'Alexandre,La signification de la mort Alexandre,verse,,,mutilated,Paris,Bibliothèque nationale de France,français,368,,119r-120v,129-131,https://gallica.bnf.fr/ark:/12148/btv1b90600192,incomplet de la fin,,,,,1301-1313,"Première moitié du XIVe siècle, avant 1313",Arlima/Jonas,http://jonas.irht.cnrs.fr/manuscrit/45523,https://arlima.net/no/633,,,,5033,Pierre de Saint-Cloud
1613,,,45930,FALSE,"Paris, Bibliothèque nationale de France, français 368",Alexandre,Pierre de Saint-Cloud,roman d'Alexandre,La signification de la mort Alexandre,verse,,,mutilated,Paris,Bibliothèque nationale de France,français,368,,119r-120v,129-131,https://gallica.bnf.fr/ark:/12148/btv1b90600192,incomplet de la fin,,,,,1301-1313,"Première moitié du XIVe siècle, avant 1313",Arlima/Jonas,http://jonas.irht.cnrs.fr/manuscrit/45523,https://arlima.net/no/633,,,,5033,Pierre de Saint-Cloud
1614,,,45930,FALSE,"Paris, Bibliothèque nationale de France, français 368",Alexandre,,roman d'Alexandre,Prise de Defur,verse,R,R,,Paris,Bibliothèque nationale de France,français,368,,116r-117v,126-128,https://gallica.bnf.fr/ark:/12148/btv1b90600192,,,,,,1301-1313,"Première moitié du XIVe siècle, avant 1313",Arlima/Jonas,http://jonas.irht.cnrs.fr/manuscrit/45523,https://arlima.net/no/633,,,,1881,La prise de defur
1615,,,45930,FALSE,"Paris, Bibliothèque nationale de France, français 368",Alexandre,,roman d'Alexandre,Prise de Defur,verse,R,R,,Paris,Bibliothèque nationale de France,français,368,,116r-117v,126-128,https://gallica.bnf.fr/ark:/12148/btv1b90600192,,,,,,1301-1313,"Première moitié du XIVe siècle, avant 1313",Arlima/Jonas,http://jonas.irht.cnrs.fr/manuscrit/45523,https://arlima.net/no/633,,,,1881,La prise de defur
1616,,,45930,FALSE,"Paris, Bibliothèque nationale de France, français 368",Alexandre,,roman d'Alexandre,Prise de Defur,verse,R,R,,Paris,Bibliothèque nationale de France,français,368,,116r-117v,126-128,https://gallica.bnf.fr/ark:/12148/btv1b90600192,,,,,,1301-1313,"Première moitié du XIVe siècle, avant 1313",Arlima/Jonas,http://jonas.irht.cnrs.fr/manuscrit/45523,https://arlima.net/no/633,,,,1881,La prise de defur
1652,,,45142,FALSE,"Albi, Archives départementales du Tarn, H 0375",Alexandre,,,roman d'Alexandre en prose,prose,,,fragment,Albi,Archives départementales du Tarn,,H 0375,,,,NON NUMÉRISÉ,Version à confirmer,,,,,1401-1500,XVe siècle?,Medium(IRHT),http://jonas.irht.cnrs.fr/manuscrit/79820,,,,,420,Le roman d'Alexandre en prose
1653,,,,FALSE,"Berlin, Kupferstichkabinett, 78 C 1",Alexandre,,,roman d'Alexandre en prose,prose,,,,Berlin,Kupferstichkabinett,,78 C 1,,,,,,,Hainaut,Arlima,,1281-1320,fin 13e ou début 14e s.,Jonas,https://jonas.irht.cnrs.fr/manuscrit/73008,,,,,,
1654,,,45530,FALSE,"Bruxelles, Bibliothèque royale, 11040",Alexandre,,,roman d'Alexandre en prose,prose,,,,Bruxelles,Bibliothèque royale,,11040,,,,,,,,,,1281-1320,fin 13e ou début 14e,Jonas,https://jonas.irht.cnrs.fr/manuscrit/73007,,,,,,
1655,,,45082,FALSE,"Cambridge, Fitzwilliam Museum, Charles Fairfax Murray 20",Alexandre,,,roman d'Alexandre en prose,prose,,,,Cambridge,Fitzwilliam Museum,Charles Fairfax Murray,20,,,,,,,,,,1401-1500,15e s.,Jonas,http://jonas.irht.cnrs.fr/manuscrit/78303,,,,,,
1656,,,45593,FALSE,"London, British Library, Harley 4979",Alexandre,,,roman d'Alexandre en prose,prose,,,,London,British Library,Harley,4979,,,,https://bl.digirati.io/iiif/ark:/81055/vdc_100057738715.0x000001,,,,,,1281-1320,fin 13e ou début 14e s.,Jonas,http://jonas.irht.cnrs.fr/manuscrit/73009,,,,,,
1657,,,45608,FALSE,"London, British Library, Royal 15.E.VI.",Alexandre,,,roman d'Alexandre en prose,prose,,,,London,British Library,Royal,15.E.VI.,,4-24v,,,,,"Normandie, copié à Rouen",,,1444-1445,1444-1445,Jonas,http://jonas.irht.cnrs.fr/manuscrit/31188,,,,,,
1658,,,45610,FALSE,"London, British Library, Royal 19.D.I.",Alexandre,,,roman d'Alexandre en prose,prose,,,,London,British Library,Royal,19.D.I.,,,,,,,,,,1332-1336,entre 1332 et 1336,Jonas,http://jonas.irht.cnrs.fr/manuscrit/31238,,,,,,
1659,,,45623,FALSE,"London, British Library, Royal 20.A.V.",Alexandre,,,roman d'Alexandre en prose,prose,,,,London,British Library,Royal,20.A.V.,,,,,,,,,,1251-1300,2e moitié du 13e s.,Jonas,http://jonas.irht.cnrs.fr/manuscrit/78296,,,,,,
1660,,,45618,FALSE,"London, British Library, Royal 20.B.XX.",Alexandre,,,roman d'Alexandre en prose,prose,,,,London,British Library,Royal,20.B.XX.,,,,,,,,,,1421-1425,"1420-1425 ( McKendrick, Lowden et Doyle, 2011)",Jonas,http://jonas.irht.cnrs.fr/manuscrit/78297,,,,,,
1661,,,,FALSE,"London, Lambeth Palace Library, 342",Alexandre,,,roman d'Alexandre en prose,,,,,London,Lambeth Palace Library,,342,,,,,,,,,,,,,https://jonas.irht.cnrs.fr/manuscrit/31556,,Empty on Jonas,,,,
1662,,,45397,FALSE,"Mans (le), Bibliothèque municipale, 103",Alexandre,,,roman d'Alexandre en prose,prose,,,,Le Mans,Bibliothèque municipale,,103,,1r - 83v,Jan-89,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=2935,,,Paris?,Jonas,,1301-1400,XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/33390,https://arlima.net/no/8481,Localisation d'après bibliographie,,,420,Roman d'Alexandre en prose
1499,,,45367,FALSE,"Oxford, Bodleian Library, Rawlinson D.913/?",Alexandre,,,roman d'Alexandre en prose,prose,,,fragment,Oxford,Bodleian Library,Rawlinson,D.913,,,,,,,,,,1251-1300,13e siècle (2e moitié),Jonas,http://jonas.irht.cnrs.fr/manuscrit/40703,,,,,,
